QUALIDADE CONFIABILIDADE SUST.CIENT.(CST)
AVALIAÇÃO GERAL CONTEÚDO DIDÁTICO-METODOLÓGICOS TÉCNICOS CST
Titulo,Visualizações,Gosteis,Não Gosteis,Comentarios,Duração,Data De Publicação,Link,Nome Canal,Inscritos,1.Clareza nos Objetivos,2.Objet.Alcanc.,3.É relevante?,4.Fonte de Inform.,5.Clareza Inform.,6.Viés e Equilíbrio,7.Fontes Adic.de Inform.,8.Refer.Áreas Incert.,9.Comp.Quím.Á.Nucl.Nucleotd.,10.Papel do DNA/RNA,11.Diferenças DNA/RNA,12.Forças.Intermolec.Conform.DNA,13.Influência PH.Temp.Enovelamento e Mudança Conform.Estrutural DNA,14.Contextualização com Cotidiano e Transdiscip.,15.Clareza e Coesão,16.Aproxim.com Aceito na Comun.Científica,17.Recursos eficazes e Duração do Vídeo,18.Edição dos Vídeos,19.Dados Autorais e Produção,20.Interligação Aspectos Técnicos/Didat.Metodol. e de Conteúdo,21.Zooms/Enquad/Visão de Fundo,22.Editado Profissionalmente,23.Qualidade do vídeo como Fonte de Inform.,24.Infor.Claras e Objetivas,25.Fontes Confiáveis de Inform.,26.Inform.Equilibrada e Imparcial,27.Confiabilidade do vídeo como Fonte de Inform.,
Ácidos nucleicos - Aula 1,554,67,0,0,PT7M31S,2020-03-18T17:54:56Z,https://youtu.be/nK4yqywUWB0,Ricardo Lobo,953,3,4,3,4,4,4,3,1,5,5,5,3,2,2,4,3,5,5,3,4,4,4,4,5,4,4,4,
Estrutura dos Ácidos Nucleicos: DNA e RNA - Bioquímica (Bio Aulas),12272,762,13,40,PT13M39S,2020-10-01T19:05:17Z,https://youtu.be/aKXoUrtatVI,Bio Aulas - Prof. Matheus Moura,69300,5,5,5,5,5,4,3,1,4,5,5,2,1,3,5,2,5,5,4,4,4,4,4,5,4,3,4,
Estrutura química dos ácidos nucleicos - Química Orgânica - Química,22327,510,12,7,PT6M58S,2015-07-25T14:36:37Z,https://youtu.be/Rq6qbCExz2I,Kuadro Oficial,338000,5,5,5,4,4,4,3,1,4,4,4,3,1,2,4,3,5,5,2,3,3,3,3,4,4,1,4,
Biologia Molecular – Estrutura dos Ácidos Nucléicos (Aula 01) com Prof Saulo Siqueira,19522,460,6,14,PT14M36S,2015-09-09T11:07:47Z,https://youtu.be/ErVxoo3Lj7w,CEAR UEG,22100,5,5,5,5,5,5,4,1,5,5,5,4,2,4,5,4,5,5,5,5,5,5,5,,5,5,5,
Biologia Celular - Ácidos Nucleicos,39834,928,13,40,PT11M47S,2013-05-06T05:52:06Z,https://youtu.be/2IdwhiMz4DY,Kinapse Vestibulares,151000,5,5,4,5,5,4,2,1,5,5,5,2,1,2,5,3,5,5,2,3,4,4,4,4,4,3,4,
BioKrill Series - Nucleotídeos (Ácidos Nucleicos - EP 2),2514,250,3,18,PT5M18S,2019-08-29T18:48:31Z,https://youtu.be/G5PtyJ25xlE,BioKrill,27700,4,4,4,3,3,3,2,1,4,4,4,2,1,1,3,2,4,5,4,4,4,4,4,4,3,4,4,
Los Acidos nucleicos/ ADN y ARN,179,0,0,0,PT19M,2021-03-14T13:19:32Z,https://youtu.be/xcZTBke9D3s,DIGITICSA,261,5,5,5,5,5,5,4,1,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5,4,5,
DNA-nucleotídeos,11695,627,3,23,PT10M42S,2017-03-18T22:26:56Z,https://youtu.be/-fLnUnb3yvA,Bioonerd,19900,5,5,5,5,5,4,4,1,5,5,5,4,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,
Nucleic Acids,701872,5211,135,244,PT8M,2012-11-13T03:32:43Z,https://youtu.be/NNASRkIU5Fw,Bozeman Science,1220000,5,5,5,4,5,4,3,1,5,5,5,3,2,2,5,3,5,5,5,4,5,5,5,5,4,5,5,
Diferencias entre ADN y ARN nivel experto para principiantes EN 5 MINUTOS,1329022,52775,902,1884,PT6M,2016-11-14T20:24:34Z,https://youtu.be/hM6n0ADCK4w,Camach Learn,308000,5,5,5,4,3,3,2,1,5,5,5,5,1,2,4,3,4,4,4,4,4,4,4,5,4,3,4,
Nucleic acids and Nucleotides.,112,2,0,0,PT30M19S,2021-01-16T07:12:27Z,https://youtu.be/mr3q2l0B-oI,Dr Dipakchandra Sarkar,1030,5,5,5,5,5,4,3,1,5,5,5,3,1,4,5,4,5,5,4,4,5,5,4,5,4,3,4,
Introduction to Nucleic Acids,197485,1327,24,42,PT8M1S,2015-02-10T18:13:46Z,https://youtu.be/1Wc4jTH2v_w,Andrey K,697000,5,5,5,4,4,3,3,1,5,5,5,3,2,3,5,4,5,5,4,4,4,4,4,4,4,4,4,
Topic 10.1 - Intro to nucleic acids and nucleotides,1377,5,0,0,PT4M34S,2019-03-14T19:25:20Z,https://youtu.be/e9BwqsEhMZQ,Doctor NOx,563,5,4,4,4,4,4,4,3,5,5,5,2,1,3,5,3,4,4,3,3,3,4,4,4,4,4,4,
DNA Structure,904485,9060,520,374,PT4M22S,2014-11-13T08:03:12Z,https://youtu.be/C1CRrtkWwu0,Teacher's Pet,94900,5,5,4,3,4,3,3,1,4,4,4,2,1,3,4,4,4,4,3,,4,4,3,3,4,4,4,
The Basics of DNA | DNA Structure/ Nulceosides/ Nucleotides/ and Nucleic Acids,35026,526,2,35,PT5M18S,2015-12-24T21:49:27Z,https://youtu.be/9FNhUwS6bzk,PremedHQ Science Academy,64900,5,5,5,,4,3,3,2,5,5,5,2,1,3,4,4,5,5,4,4,4,4,4,4,4,4,4,
Nucleotides,56069,383,26,24,PT12M9S,2014-02-17T23:23:03Z,https://youtu.be/xGUNwM60eNM,talkboard,10900,5,5,4,4,5,4,4,1,5,5,5,2,1,2,5,4,5,4,3,3,3,3,4,4,4,4,4,
Chapter-8: Nucleotides and Nucleic acids-Part 1,3568,58,0,5,PT28M5S,2020-11-09T01:50:24Z,https://youtu.be/43P1rqX9k90,SciEnLighten,2050,4,4,5,4,4,3,3,1,5,5,5,3,2,4,4,4,5,5,5,5,5,5,4,4,4,4,4,
Acidos Nucleicos: Diferenças entre o DNA e o RNA - Citologia - Biologia Celular - VídeoAula 016,249655,11952,92,309,PT18M,2013-05-15T03:11:05Z,https://youtu.be/SN-QFq8qwTA,Anatomia Fácil com Rogério Gozzi,1290000,4,4,4,2,3,3,1,1,3,3,3,1,1,2,2,2,3,3,1,3,2,3,2,2,2,2,3,
Ácidos Nucleicos - Módulo I: Aula 2 - Bioquímica Celular | Prof. Giba,184,36,0,4,PT37M59S,2020-03-21T22:49:00Z,https://youtu.be/Ru1mq3Kf_DE,Só Biologiba,336,5,4,4,4,4,4,2,1,4,4,4,2,1,3,4,3,4,4,2,3,3,3,3,4,4,4,4,
7. 0. NUCLEOTÍDEOS: conceito/ estrutura/ função e obtenção,383,15,0,0,PT33M33S,2021-01-15T00:46:02Z,https://youtu.be/M94igPBdD5o,Francislene Reis,219,5,5,4,4,5,4,3,1,4,4,4,2,1,,5,3,4,5,4,5,5,5,4,4,,4,4,
Nucleosides nucleotides and nucleic acids in hindi | biomolecules nucleic acids | DNA,29304,910,51,57,PT4M45S,2019-07-19T18:20:32Z,https://youtu.be/VsX38YmT8_4,Biology with Aagam singh,478000,4,4,5,3,4,3,3,1,5,5,5,2,2,3,4,3,4,4,4,4,4,4,3,4,3,4,4,
Nucleotides and Nucleic Acids | Biochemistry | DNA & RNA | Structure + Functions | NEET PG 2021,1158,18,0,0,PT1H38M32S,2021-01-15T18:30:42Z,https://youtu.be/LT7kSQeXiqg,ABC go! Study,10400,5,5,5,3,4,3,3,1,5,5,5,3,2,3,5,4,5,5,5,4,5,5,4,4,4,4,4,
Quais são as características do DNA? - Biologia - Descomplica,31336,902,13,10,PT4M59S,2013-08-06T15:14:00Z,https://youtu.be/55j4-CcVlQ0,Descomplica,4070000,4,4,4,3,4,4,3,1,4,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,
Nucleic acids & Nucleotides,41,5,0,0,PT7M15S,2020-04-06T07:49:02Z,https://youtu.be/h720Jr8a6Bs,SAJIB DAS,13,4,4,4,3,5,4,2,4,4,4,4,2,1,4,4,3,3,4,3,4,4,4,3,4,4,4,4,
OCR Biology 5 Nucleotides and DNA,6961,86,6,0,PT14M35S,2015-10-20T16:50:54Z,https://youtu.be/hegyA21niHY,mrjoinsons biology,1330,5,5,4,4,4,3,3,1,5,5,4,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,
23.01 Nucleosides/ Nucleotides & Nucleic Acids,46009,104,8,11,PT7M18S,2010-12-13T21:51:07Z,https://youtu.be/hW9EmUN-wsc,Michael Evans,20000,4,4,5,3,3,5,4,1,5,5,5,2,1,4,4,4,4,4,4,4,4,4,3,4,4,4,5,
Chemicals of Life - Nucleic Acids - Post 16 Biology (A Level/ Pre-U/ IB/ AP Bio),2427,38,4,2,PT5M25S,2016-07-09T09:06:59Z,https://youtu.be/-rnYicYCcc0,Mr Exham Biology,46100,5,5,4,4,4,4,4,1,4,4,4,2,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,
Nucleic Acid | Purine & Pyrimidines | Nucleotide & Nucleoside | Differences between DNA & RNA,22895,685,28,53,PT27M17S,2020-06-21T11:11:58Z,https://youtu.be/PjTI7GNUjBs,Dr Sohail Lectures,30900,5,5,5,4,4,4,4,1,5,5,4,3,2,4,4,4,5,5,4,4,4,4,4,4,4,4,5,
Nucleic Acid/  Amino acids & Protein - Biomolecule L-5 Unit 1 Biochemistry,30596,752,26,56,PT19M6S,2020-02-20T18:15:00Z,https://youtu.be/CxgQnZmIoYQ,Kcl Tutorials,315000,4,4,4,4,4,4,3,1,5,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,
DNA Structure | A-level Biology | OCR/ AQA/ Edexcel,93977,1529,16,41,PT15M53S,2019-04-14T13:09:13Z,https://youtu.be/QG5xiCG-Bgk,SnapRevise,134000,5,5,5,4,5,4,4,1,5,5,5,2,1,4,4,4,4,4,4,4,5,5,5,5,5,5,5,
Structure of Nucleotide & Nucleoside | DNA & RNA | Hindi | NCERT | Biology,37813,Indisponivel!,45,25,PT9M29S,2017-12-03T20:31:15Z,https://youtu.be/MfJJvQgXNZQ,Biology Vibes - NCERT / NEET Biology,1030,5,5,5,4,5,4,3,1,5,5,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
{Hindi} Nucleic Acid (Part I) : Nucleotide and Nucleoside,3134,83,8,13,PT13M23S,2020-01-20T15:57:03Z,https://youtu.be/qSdepRat6oo,Sciducate by Dr. Priyanshu Srivastava,888,5,5,5,4,5,4,3,1,5,5,5,3,,4,4,4,5,4,4,4,4,4,4,4,4,4,4,
NUCLEIC ACIDS + DNA REPLICATION - AQA A LEVEL BIOLOGY + EXAM QUESTION RUN THROUGH,22650,529,12,39,PT32M59S,2020-07-06T15:16:54Z,https://youtu.be/JoJ0UI0T4Ls,A level Biology Help,9910,4,4,4,3,4,4,3,1,4,4,4,1,1,2,3,3,3,3,2,3,3,3,3,4,3,4,3,
Biology | Nucleic Acids & Nucleotides,52,4,0,1,PT7M51S,2020-07-17T15:31:32Z,https://youtu.be/iDBSoiGpfzw,Ishaan Randhawa,40,4,4,4,4,4,3,3,1,5,5,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
#Nucleotides #न्यूक्लियोटाइड्स #Nucleic acids #Rehan's Biology #Botany 2nd Paper B.Sc.Part 3,20298,552,15,32,PT19M58S,2020-08-15T10:56:31Z,https://youtu.be/qgteJxcJBNk,Rehan's Biology,50700,4,4,4,4,4,4,3,1,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Intro to Nucleic Acids--Building Nucleotides,173,7,0,2,PT10M15S,2020-04-21T16:00:34Z,https://youtu.be/teUFZtYdvOE,jOeCHEM,7510,5,5,5,4,5,4,3,1,5,5,5,4,2,5,5,5,5,5,4,5,5,4,4,4,4,4,4,
NUCLEIC ACIDS ●NUCLEOTIDES ●NUCLEOTIDES ●POLYNUCLEOTIDES,600,25,0,5,PT7M26S,2021-02-03T12:07:16Z,https://youtu.be/w20X4A-5b8M,AVIJIT'S BIOLOGY,1580,5,5,5,4,4,4,3,1,5,5,5,2,2,4,4,4,4,4,4,4,5,5,5,4,4,4,5,
Nucleotides | FSc biology part 1 | Cha – 2 in Pashto | Home of biology,1479,64,0,13,PT8M1S,2020-12-04T07:10:37Z,https://youtu.be/4y6VhRwUkyo,Home Of Biology,17700,4,4,4,4,4,3,3,1,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleic Acids/ Class 11 Biology Chapter 2 Biological Molecules/ Ilmi Stars Academy,4660,141,5,23,PT16M2S,2020-10-31T16:31:34Z,https://youtu.be/HKUXkyUOoKI,Ilmi Stars Academy,26500,5,5,5,4,4,4,4,1,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Types of Nucleic Acids & Nucleotides: Building Blocks of Nucleic Acids -Lawrence Nicolai Bernardo,86,0,0,0,PT8M30S,2020-11-29T07:25:10Z,https://youtu.be/NxcIn7noQvU,Ruby Louzelle Soriano,2,4,4,4,4,4,4,4,1,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleic acids and nucleotides: Introduction part-1,173,38,0,6,PT10M6S,2020-08-09T16:06:08Z,https://youtu.be/ag6WgI_-xe4,The BioTuber: Science with Swastik,178,4,4,4,4,3,3,1,1,5,5,5,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,
Nucleic Acid & Nucleotide (in English ) |Types of Nucleotide | Biochemistry| GATE BT 2021| GURMANTRA,762,42,0,5,PT22M59S,2020-11-09T05:00:05Z,https://youtu.be/pGzKWXC1YzU,GurMantra - shiksha ka granth,44100,4,4,4,4,4,4,4,1,5,5,5,3,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,
A level Biology: Nucleic Acids,596,8,2,2,PT43M6S,2020-06-29T22:50:40Z,https://youtu.be/tNqljgVGQag,A-level Biology,26,5,5,5,4,4,4,4,1,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleic Acids & ATP,1251,Indisponivel!,0,0,PT18M29S,2016-02-03T23:50:02Z,https://youtu.be/CHQdY6orf5s,Anatomy and Physiology for Paramedics,19200,4,4,4,3,4,4,2,3,5,5,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleic Acid in Urdu Hindi || 11th Class Biology || Chapter# 2,6223,200,0,29,PT7M56S,2020-02-03T14:31:56Z,https://youtu.be/YVC4Itkq0No,The Base Academy,176000,5,5,5,4,5,5,4,1,5,5,5,3,3,4,4,4,4,,4,4,4,5,4,4,4,4,4,
Nucleic acids/ structure of nucleotide/ nucleoside/ AMP/ ADP/ATP||1st year biology MDACT/ EATA/ NUMS,758,34,0,14,PT25M19S,2020-08-31T17:52:33Z,https://youtu.be/Hj0xDhyIxH8,professor sajid ali official page,5710,5,5,5,4,4,4,3,1,5,5,5,3,1,4,4,4,3,3,1,4,3,4,3,4,4,4,4,
Nucleic acids  | DNA & RNA | Nucleoside & Nucleotide in hindi | Unique life sciences | by R.k. Sir |,547,32,0,2,PT24M53S,2020-07-19T14:52:42Z,https://youtu.be/jTu_fi_l5qk,UNIQUE Life Sciences,5230,5,5,5,4,4,4,3,1,5,5,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Introduction of Nucleic Acids | Nucleotides and Nucleic Acids | CSIR - UGC NET | Surbhi Singh,2402,72,2,3,PT58M55S,2020-09-03T01:05:29Z,https://youtu.be/j2uP_tg5w60,Unacademy CSIR Life Sciences,16400,5,5,4,3,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,
Nucleic acids and Nucleotide I Numerical examples I Prof Kukreja Girish,531,26,0,2,PT3M23S,2020-06-20T16:45:22Z,https://youtu.be/kkeHsG0fUvQ,Micro Biology,5130,4,4,4,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,
Nucleic acids- Nucleotides/ Nitrogenous bases,118,5,0,1,PT19M47S,2019-08-08T08:46:23Z,https://youtu.be/NLHBAS5ZKZ0,Ch-09 Life Sciences/ Botany/ Zoology/ Bio-Science,29600,4,4,4,3,4,4,3,1,4,4,4,1,1,2,3,2,,4,4,4,4,4,3,4,3,3,4,
Structure of Nucleic Acids | DNA | RNA | Nucleotides | Nucleosides | ATP | NADPH | NEET,1016,46,0,27,PT32M18S,2020-05-04T18:16:32Z,https://youtu.be/bmboguS-Gxg,illume Biology,27600,5,5,5,4,5,5,4,1,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,
The Structure of DNA,2875724,39813,928,1174,PT5M59S,2015-05-26T14:21:17Z,https://youtu.be/o_-6JXLYS-k,MITx Bio,30900,5,5,5,4,5,4,4,1,5,5,5,4,4,4,4,5,4,5,4,4,4,4,5,5,5,4,5,
A Level Biology: Nucleic Acids - DNA structure part 2,64,1,0,0,PT15M30S,2020-11-16T19:37:52Z,https://youtu.be/xVFRrNwnVoc,Mr Gill's Science Stuff,295,5,5,5,5,5,5,5,1,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,
Structure and Function of Nucleic Acids.mp4,298,3,0,0,PT27M23S,2017-09-27T12:17:38Z,https://youtu.be/--bjVj8pstc,Ch-09 Life Sciences/ Botany/ Zoology/ Bio-Science,29600,5,5,5,5,5,5,4,1,5,5,5,4,4,5,5,5,5,5,2,5,5,5,5,5,4,4,5,
MNVA Bio Sem A Lab 2.09/  Nucleic Acids and Proteins w Ms. R,521,3,2,2,PT28M49S,2016-10-18T21:56:58Z,https://youtu.be/4c6JjO8dJ6I,MsRScienceClassK12,557,5,5,5,5,5,5,4,1,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,4,4,5,
Biomolecules - Nucleic Acids/ RNA/  difference between DNA&RNA,177,11,0,22,PT22M33S,2021-02-06T14:03:14Z,https://youtu.be/V4rke2kVuiE,Raja Rajan,270,5,5,5,5,4,4,5,1,5,5,5,3,3,5,5,3,3,3,2,4,4,4,4,4,4,4,4,
Nucleic Acids,281,10,0,Indisponivel!,PT11M31S,2019-09-04T04:20:21Z,https://youtu.be/MuYNrNBjNJk,Shawn Bertholf,99,5,5,4,4,4,4,4,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,
Lecture - 20 Nucleic Acids 1,109339,472,23,32,PT59M47S,2008-04-19T09:51:54Z,https://youtu.be/jLyi2K-29xU,nptelhrd,2010000,5,5,5,4,4,5,4,1,5,5,5,3,3,4,4,4,5,5,5,5,5,5,4,4,4,4,4,
Nucleic Acids & DNA Replication (updated),28844,547,11,32,PT20M40S,2019-09-19T19:47:59Z,https://youtu.be/7LLSH-rafiE,Beverly Biology,99600,5,5,5,4,5,4,4,1,5,5,5,3,2,5,5,4,5,4,4,4,4,4,4,4,3,4,4,
Nucleotide metabolism :- detailed explaination in Hindi & ppt English,5303,132,1,7,PT47M18S,2020-05-08T18:39:36Z,https://youtu.be/SVEZVwEHq2E,Career achievers,1570,4,4,4,4,3,3,3,1,4,4,4,2,2,1,3,3,3,3,3,3,3,3,2,1,2,3,4,
Nucleotides and Nucleic Acids Biochemistry I Nucleotides and Nucleosides I Basic concepts in Hindi I,104,9,0,1,PT19M8S,2020-06-07T09:49:57Z,https://youtu.be/vw0xG9cruc8,Gene Academy,237,5,5,5,4,4,4,4,1,4,4,4,1,1,2,4,3,4,4,1,3,3,3,3,3,3,3,4,
Nucleic Acids and Its Types |Biochemistry| Structure and Functions of DNA and RNA|Nucleotide|,19624,474,4,70,PT8M43S,2018-06-11T14:28:32Z,https://youtu.be/GM_hrF8dqIc,I.A Chemistry Academy,27100,4,4,4,4,5,4,2,2,4,4,4,3,3,4,4,4,5,5,1,4,3,3,3,3,3,4,4,
Structure of the Nucleic acids 1 ;DNA and RNA  (The Nucleotide),88,9,0,0,PT6M24S,2020-07-10T03:24:52Z,https://youtu.be/pMZ3Ief9PT8,Brilliant Mind Scholars,1100,4,4,4,3,4,4,4,1,5,5,5,2,2,4,5,3,4,4,3,4,4,4,3,4,4,4,4,
Molecular basis of inheritance-Nucleic acid and nucleotide,77,5,0,2,PT8M45S,2019-06-28T15:11:53Z,https://youtu.be/vNhKT4o6z5A,Edu2All,251,4,4,4,4,3,3,3,1,4,4,4,1,1,4,4,4,4,4,3,3,3,3,3,3,3,3,4,
CHM4930 Nucleotides as Building Blocks of Nucleic Acids 082020,179,4,0,Indisponivel!,PT12M54S,2020-08-20T18:55:04Z,https://youtu.be/Uh6nSS-Gt_0,Amy Lane,1310,4,4,4,4,4,3,2,1,4,4,4,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,
Nucleic Acids: Nucleotides/ DNA/ and RNA,75,5,0,1,PT10M21S,2020-07-10T00:16:03Z,https://youtu.be/AXvjSgZXj0w,Another Youtube Tutor,421,4,4,4,4,4,4,3,1,5,5,5,4,1,2,4,3,4,4,4,4,4,4,4,4,3,4,4,
CSIR-NET Life science|Nucleic Acid|Nucleotide|IIT-Jam|M.Sc. entrance|P.hd entrance|by ved sir,407,27,0,0,PT50M40S,2020-03-01T15:23:27Z,https://youtu.be/Ktl9XoCX_Is,Ved classes Ved sir,7740,4,4,4,,4,4,3,1,4,4,4,3,3,4,,4,4,4,4,4,4,4,4,4,4,4,4,
The structure of nucleic acids,15594,99,2,7,PT5M43S,2014-01-06T14:55:37Z,https://youtu.be/T2fnyyFcyEI,SiouxScience,8530,5,5,5,5,5,5,3,1,5,5,5,3,3,5,5,4,5,4,3,4,4,4,4,4,4,4,4,
ASMR Chemistry: Nucleic Acids | Nucleotides | DNA & RNA | Hydrogen Bonding,3871,191,3,20,PT40M1S,2021-02-10T02:58:43Z,https://youtu.be/iXD0pScquiw,ASMR Chemistry,2470,4,4,4,4,4,4,1,3,4,4,4,2,2,4,4,4,4,4,3,4,4,4,3,4,4,4,4,
Dr. Abbas ( Biochemistry - Revision)2014_2015) chemistry of free nucleotides & nucleic acid 1st year,1245,6,0,0,PT2H9M6S,2015-04-23T20:58:39Z,https://youtu.be/O-BFqVuaIuc,Islam khalaf,122000,3,3,3,3,3,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,3,
Part-2 |Nucleic Acids and Nucleotides |Essential Biology |DIPS IMT |Bscmls1 |Ppt audio lecture,126,1,0,0,PT4M30S,2020-10-23T07:10:52Z,https://youtu.be/8VrOiQe73BI,DIPS IMT MLS,762,4,4,4,4,4,,4,1,4,4,4,3,3,3,3,2,3,3,3,3,4,3,3,3,4,4,4,
(OLD VIDEO) DNA Structure and Function,1243048,7609,670,413,PT8M54S,2013-09-28T14:07:30Z,https://youtu.be/_POdWsii7AI,Amoeba Sisters,1460000,4,4,4,3,4,4,1,1,3,3,3,2,2,4,4,4,4,3,3,3,4,3,3,4,4,4,4,
What happens when your DNA is damaged? - Monica Menesini,2156799,42806,398,1245,PT4M59S,2015-09-21T15:33:05Z,https://youtu.be/vP8-5Bhd2ag,TED-Ed,17700000,4,4,4,4,4,4,4,1,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleotides/ RNA/ & the Origin of Life,3267,33,0,3,PT9M30S,2016-09-17T04:08:59Z,https://youtu.be/wWFKXk76xrA,Bonding with Science,176,4,4,4,4,4,4,3,1,4,4,4,2,2,4,3,3,4,4,,4,4,4,4,4,4,4,4,
